,Unnamed: 0.1,Unnamed: 0,Domain_Name,Manual1,Manual2,ChatGPT_4o,Instant_Segment,English?
180,180,95584,fullofeyes.com,full|of|eyes,full|of|eyes,full|of|eyes,full|of|eyes,Yes
181,181,20781,heimscheid.com,heim|scheid,heimscheid,heimscheid,heim|scheid,No
182,182,40078,donovanswall.com,donovans|wall,donovans|wall,donovan|s|wall,donovan|swall,Yes
183,183,29886,celebchatbot.com,celeb|chat|bot,celeb|chat|bot,celeb|chat|bot,celeb|chatbot,Yes
184,184,54670,beehealthy.com,bee|healthy,bee|healthy,bee|healthy,bee|healthy,Yes
185,185,36606,elitelabdiamond.com,elite|lab|diamond,elite|lab|diamond,elite|lab|diamond,elite|lab|diamond,Yes
186,186,514,coordinateursparentaux.com,coordinate|urs|parent|aux,coordinate|urs|parent|aux,coordinateurs|parentaux,co|ordinateurs|parent|aux,Yes
187,187,9866,eddysattractions.com,eddys|attractions,eddys|attractions,eddys|attractions,eddy|s|attractions,Yes
188,188,43800,ercupdates.com,er|cup|dates,er|cup|dates,erc|updates,erc|updates,Yes
189,189,22229,criticalwitness.com,critical|witness,critical|witness,critical|witness,critical|witness,Yes
190,190,91057,imgevervalleyhealth.com,img|ever|valley|health,img|ever|valley|health,imge|rvalley|health,img|ever|valley|health,Yes
191,191,84522,hallingers.com,hallingers,hallingers,hall|ingers,hal|lingers,Yes
192,192,76016,eprnd.com,eprnd,eprnd,eprnd,epr|nd,Yes
193,193,76533,asdeliveryservice.com,as|delivery|service,as|delivery|service,as|delivery|service,as|delivery|service,Yes
194,194,41638,fzshtgs.com,fzshtgs,fzshtgs,fzs|htgs,f|zsh|tgs,No
195,195,62477,baoyfc.com,baoyfc,baoyfc,baoy|fc,bao|yfc,No
196,196,38665,contractorsteamllc.com,contractor|steam|llc,contractors|team|llc,contractors|team|llc,contractors|team|llc,Yes
197,197,6925,enziglow.com,enzig|low,enzi|glow,enz|i|glow,enzi|glow,Yes
198,198,11670,catchr-guiding.com,catchr|guiding,catchr|guiding,catch|r|guiding,catch|r|guiding,Yes
199,199,52744,aquatechus.com,aqua|tech|us,aqua|tech|us,aqua|tech|us,aquatech|us,Yes
200,200,59918,jgw987.com,jgw987,jgw987,jgw|987,jgw,No
201,201,23748,apogeeze.com,apogeeze,apogeeze,apo|geeze,apogee|ze,Yes
202,202,92695,heartothemountain.com,heart|o|the|mountain,hear|to|the|mountain,heart|of|the|mountain,hear|to|the|mountain,Yes
203,203,90300,e-statevolando.com,e|state|volando,e|state|volando,e|state|volando,estate|vol|an|do,Yes
204,204,59145,fitprosdoneforyou.com,fit|pros|done|for|you,fit|pros|done|for|you,fit|pros|done|for|you,fit|pros|done|for|you,Yes
205,205,94815,asterisies.com,aster|isies,asterisies,aster|isies,aster|is|ies,Yes
206,206,59632,bdjuniversal.com,bdj|universal,bdj|universal,bdj|universal,b|dj|universal,Yes
207,207,26108,collectionsineurope.com,collections|in|europe,collections|in|europe,collections|in|europe,collections|in|europe,Yes
208,208,74569,ceylontrendy.com,ceylon|trendy,ceylon|trendy,ceylon|trendy,ceylon|trendy,Yes
209,209,37590,airepe-gz.com,airepe|gz,airepe|gz,airepe|gz,aire|peg|z,Yes
210,210,91789,artwye.com,art|wye,art|wye,art|wye,art|wye,Yes
211,211,82702,gerathemetalsmith.com,gera|the|metal|smith,gera|the|metal|smith,gera|the|metal|smith,gera|the|metalsmith,Yes
212,212,50866,diyfl.com,diy|fl,diy|fl,diy|fl,diy|fl,Yes
213,213,4880,flfree.com,fl|free,fl|free,fl|free,fl|free,Yes
214,214,41666,eaglesyouthsports.com,eagles|youth|sports,eagles|youth|sports,eagles|youth|sports,eagles|youth|sports,Yes
215,215,75671,anaelearning.com,ana|elearning,anae|learning,anae|learning,ana|elearning,Yes
216,216,93824,hillsidefitness101.com,hill|side|fitness|101,hill|side|fitness|101,hillside|fitness|101,hillside|fitness,Yes
217,217,77062,heolanicreations.com,heol|ani|creations,heo|lani|creations,heolani|creations,he|olan|i|creations,Yes
218,218,32046,aspenpdm.com,aspen|pdm,aspen|pdm,aspen|pdm,aspen|pdm,Yes
219,219,66551,cosimogalluzzi.com,cosimo|galluzzi,cosimo|galluzzi,cosimo|galluzzi,cosimo|gal|luzzi,Yes
220,220,42474,beavercountyapartments.com,beaver|county|apartments,beaver|county|apartments,beaver|county|apartments,beaver|county|apartments,Yes
221,221,76734,intimatemusicgroup.com,intimate|music|group,intimate|music|group,intimate|music|group,intimate|music|group,Yes
222,222,82045,codenameacacia.com,code|name|acacia,code|name|acacia,code|name|acacia,codename|acacia,Yes
223,223,29803,dropintotech.com,drop|in|to|tech,drop|into|tech,drop|in|to|tech,drop|into|tech,Yes
224,224,81816,6958xxx.com,6958|xxx,6958|xxx,6958|xxx,xxx,Yes
225,225,90457,hdhuanwei.com,hd|huan|wei,hd|huan|wei,hd|huanwei,hd|huan|we|i,No
226,226,44078,hitspurist.com,hits|purist,hits|purist,hits|purist,hits|purist,Yes
227,227,52848,czjiu.com,cz|jiu,cz|jiu,cz|jiu,cz|jiu,No
228,228,87332,c9mtestpage1.com,c9m|test|page|1,c9m|test|page|1,c9m|test|page|1,cm|test|page,Yes
229,229,3484,incubationbrands.com,incubation|brands,incubation|brands,incubation|brands,incubation|brands,Yes
230,230,82448,jrlawgroup.com,jr|law|group,jr|law|group,jr|law|group,jr|law|group,Yes
231,231,48057,barber108.com,barber|108,barber|108,barber|108,barber,Yes
232,232,99274,demaddis.com,de|maddis,demaddis,dem|addis,dem|add|is,No
233,233,25793,fromagier.com,from|agier,from|agier,from|agier,from|a|gier,Yes
234,234,47959,instashem.com,insta|shem,insta|shem,insta|shem,in|stash|em,Yes
235,235,91179,beverlyhillsaddress.com,beverly|hills|address,beverly|hills|address,beverly|hills|address,beverly|hills|address,Yes
236,236,10928,hammondgowerserver.com,hammond|gower|server,hammond|gower|server,hammond|gower|server,hammond|gower|server,Yes
237,237,94061,emergency-hr.com,emergency|hr,emergency|hr,emergency|hr,emergency|hr,Yes
238,238,95753,cammousepad.com,cam|mouse|pad,cam|mouse|pad,cam|mouse|pad,cam|mouse|pad,Yes
239,239,29471,ivzpto.com,ivzpto,ivzpto,ivz|pto,iv|zp|to,No
240,240,69119,evgeniyach.com,evgeniyach,evgeniyach,evgeniya|ch,evgeniy|ach,No
241,241,4846,bdf-7788.com,bdf|7788,bdf|7788,bdf|7788,bdf,No
242,242,72183,amandagibbypeters.com,amanda|gibby|peters,amanda|gibby|peters,amanda|gibby|peters,amanda|gibby|peters,Yes
243,243,74974,flathams.com,flat|hams,flat|hams,flat|hams,flat|hams,Yes
244,244,30651,afroculture.com,afro|culture,afro|culture,afro|culture,afro|culture,Yes
245,245,49914,esearchlogix.com,e|search|logix,e|search|logix,e|search|logix,e|search|logix,Yes
246,246,48893,designguard.com,design|guard,design|guard,design|guard,design|guard,Yes
247,247,73286,allairedavis.com,all|aire|davis,allaire|davis,allaire|davis,allaire|davis,Yes
248,248,26153,2lovecycling.com,2|love|cycling,2|love|cycling,2|love|cycling,love|cycling,Yes
249,249,91468,eminola.com,eminola,eminola,emi|nola,emi|nola,Yes
250,250,22811,boutiquehrservice.com,boutique|hr|service,boutique|hr|service,boutique|hr|service,boutique|hr|service,Yes
251,251,70004,cruise-tv.com,cruise|tv,cruise|tv,cruise|tv,cruise|tv,Yes
252,252,97268,bob11962.com,bob|11962,bob|11962,bob|11962,bob,Yes
253,253,76421,amie-myanmaragency.com,amie|myanmar|agency,amie|myanmar|agency,amie|myanmar|agency,amie|myanmar|agency,Yes
254,254,77847,a-damselintheus.com,a|damsel|in|the|us,a|damsel|in|the|us,a|damsel|in|the|us,a|damsel|in|the|us,Yes
255,255,57881,dfiestas4u.com,d|fiestas|4|u,d|fiestas|4|u,df|iestas|4u,d|fiesta|su,Yes
256,256,50205,jagt13.com,jagt13,jagt13,jagt|13,jagt,Yes
257,257,42447,donatospizza.com,donatos|pizza,donatos|pizza,donatos|pizza,donatos|pizza,Yes
258,258,60815,bouillouses.com,bouil|louses,bouillouses,bouillouses,bou|illo|uses,No
259,259,13983,hanglun.com,hang|lun,hang|lun,hang|lun,hang|lun,No
260,260,80823,gritcases.com,grit|cases,grit|cases,grit|cases,grit|cases,Yes
261,261,48016,hvyf.com,hvyf,hvyf,hvyf,hvy|f,Yes
