,Domain Name,Segmentation 1,Segmentation 2,GPT Segmentation,English? (Yes/No)
33832,barrfinancialplanning.com,barr|financial|planning,,barr|financial|planning,
47317,gnomenets.com,gnome|nets,,gnome|nets,
6278,agidental.com,agi|dental,,agi|dental,
66320,erxbonus1.com,erx|bonus|1,,erx|bonus|1,
96907,doctor-eliseo.com,doctor|eliseo,,doctor|eliseo,
74471,activrecruitment.com,activ|recruitment,,activ|recruitment,
85908,bodygearlabs.com,body|gear|labs,,body|gear|labs,
67501,estuditres.com,estuditres,,estudi|tres,
62878,consultationyard.com,consultation|yard,,consultation|yard,
1670,hainamship.com,hainam|ship,,hai|nam|ship,
92877,gruponef.com,grupo|nef,,grupo|nef,
76042,davsdenim.com,davs|denim,,dav|sdenim,
90447,fineartroyal.com,fine|art|royal,,fine|art|royal,
32804,jeepmidlandssc.com,jeep|midland|ssc,,jeep|midlands|sc,
83384,aotngc.com,aotngc,,aot|ngc,
49565,decentralizingai.com,decentralizing|ai,,decentralizing|ai,
24774,68csn.com,68csn,,68|csn,
89944,advogadameggielecioli.com,advogada|meggie|lecioli,,advogada|meggi|lecioli,
44448,deniy.com,deniy,,deniy,
89824,d71rhsc2jqmur6ih9udfi9vpmm5cn1mc.com,d71rhsc2jqmur6ih9udfi9vpmm5cn1mc,,d71|rhsc2jqmur6ih9udfi9vpmm5cn1mc,
37059,brightwoman.com,bright|woman,,bright|woman,
42635,harbolo.com,harbolo,,harbolo,
8030,contractorsnorthwest.com,contractors|northwest,,contractors|northwest,
55456,chicoboutique.com,chico|boutique,,chico|boutique,
11350,avpachealth.com,avpac|health,,av|pac|health,
82471,gentech-films.com,gentech|films,,gen|tech|films,
9147,grupodelco.com,grupo|del|co,,grupo|delco,
93278,cw-dig.com,cw|dig,,cw|dig,
36083,doctorlilab.com,doctor|li|lab,,doctor|lilab,
40093,cnet-opticiens.com,cnet|opticiens,,cnet|opticiens,
26889,fountainhillsrental.com,fountain|hills|rental,,fountain|hills|rental,
99281,hidrototal.com,hidro|total,,hidro|total,
89523,asrlog.com,asr|log,,asr|log,
81640,cropgenius.com,crop|genius,,crop|genius,
42631,dollarsforsense.com,dollars|for|sense,,dollars|for|sense,
91231,chadla.com,chad|la,,chad|la,
8524,apptuto.com,app|tuto,,apptuto,
80742,189136.com,189136,,189|136,
7762,1am5ceqao00eph556fv4606msh16d7v5.com,1am5ceqao00eph556fv4606msh16d7v5,,1am|5ceqao00eph556fv4606msh16d7v5,
31197,encouragementmonday.com,encouragement|monday,,encouragement|monday,
68602,innovativetechs.com,innovative|techs,,innovative|techs,
74071,acchanto.com,acchanto,,ac|chanto,
13488,fullofitfarm.com,fullo|fit|farm,,full|of|it|farm,
65656,cleous.com,cleous,,cleo|us,
36384,aliciajhatch.com,alicia|j|hatch,,aliciaj|hatch,
70689,anderillium.com,ander|illium,,anderillium,
14616,diandd.com,dian|dd,,di|and|d,
54956,grandamalfi.com,granda|mal|fi,,grand|amalfi,
39965,canvaults.com,can|vaults,,can|vaults,
86440,eventbrites.com,event|brites,,event|brites,
11832,atshero.com,ats|hero,,ats|hero,
78267,general-humanoid-robot.com,general|humanoid|robot,,general|humanoid|robot,
81629,anvilleaux.com,anville|aux,,an|ville|aux,
48907,deafvpdating.com,deaf|vp|dating,,deaf|vp|dating,
67613,953674.com,953674,,953674,
36661,getpictureit.com,get|picture|it,,get|picture|it,
94310,dominicchambersstudiollc.com,dominic|chambers|studio|llc,,dominic|chambers|studio|llc,
12358,1wweb.com,1w|web,,1|wweb,
71371,havasulionsfc.com,havasulion|sfc,,havasu|lions|fc,
94775,caefinecarpentry.com,cae|fine|carpentry,,cae|fine|carpentry,
72215,bertrandfineart.com,bert|rand|fine|art,,bertrand|fine|art,
5135,finalstrands.com,final|strands,,final|strands,
19585,adaoui.com,adaoui,,adaoui,
11078,forcecoqa.com,force|coqa,,forceco|qa,
47627,cadi-plus.com,cadi|plus,,cadi|plus,
34447,ibarraelectrical.com,ibarra|electrical,,ibarra|electrical,
35595,infosqueezer.com,info|squeezer,,info|squeezer,
48226,discountforunions.com,discount|for|unions,,discount|for|unions,
10548,intclintrial.com,int|clin|trial,,int|clin|trial,
58356,collectionbgone.com,collection|bgone,,collection|bgone,
78060,atmconverter.com,atm|converter,,atm|converter,
63510,emilyesmith.com,emily|e|smith,,emilye|smith,
95265,andhralivetv.com,andhra|live|tv,,andhra|live|tv,
74420,imv-usa.com,imv|usa,,imv|usa,
63492,don-law.com,don|law,,don|law,
44257,egotrim.com,ego|trim,,ego|trim,
82268,jlconstrutic.com,jl|construtic,,jl|construtic,
18872,jasongallicchio.com,jason|gallicchio,,jason|gallicchio,
32778,doorproperty.com,door|property,,door|property,
27615,ddz40.com,ddz40,,ddz|40,
51028,hesabdarisanati.com,hesabdarisanati,,hesabdar|isanati,
88004,bashbrawl.com,bash|brawl,,bash|brawl,
83017,intelligentsecuritysc.com,intelligent|security|sc,,intelligent|security|sc,
70261,americancountryoutdoors.com,american|country|outdoors,,american|country|outdoors,
77590,apartmentsneeded.com,apartments|needed,,apartments|needed,
58650,claddingdirects.com,cladding|directs,,cladding|directs,
28421,bathroomsontap.com,bathrooms|on|tap,,bathrooms|on|tap,
79303,dragonheadpress.com,dragon|head|press,,dragon|head|press,
73348,jgonzdesigns.com,jgonz|designs,,jgon|zdesigns,
49847,ai-chatgpt3.com,ai|chatgpt3,,ai|chatgpt|3,
85895,done6.com,done|6,,done|6,
54882,healthyfitandthriving.com,healthy|fit|and|thriving,,healthy|fit|and|thriving,
64151,amanda-gahan.com,amanda|gahan,,amanda|gahan,
54701,cantaiyi.com,cantaiyi,,cant|aiyi,
88215,discoverwest.com,discover|west,,discover|west,
21289,diagnostictestingcenters.com,diagnostic|testing|centers,,diagnostic|testing|centers,
84152,diltswetzel.com,dilt|swetzel,,dilts|wetzel,
50950,aspectvu.com,aspect|vu,,aspect|vu,
78873,firestarterfx.com,fire|starter|fx,,fire|starter|fx,
59813,ecofillbins.com,eco|fill|bins,,eco|fill|bins,
46892,iairawards.com,iair|awards,,iaira|wards,
97911,jacobboydston.com,jacob|boydston,,jacob|boydston,
99030,awaywithwordsbrands.com,away|with|words|brands,,away|with|words|brands,
3272,indeedapplyonlinejobs.com,indeed|apply|online|jobs,,indeed|apply|online|jobs,
30719,37058.com,37058,,37058,
21971,beyondthrilled.com,beyond|thrilled,,beyond|thrilled,
31707,italyquestions.com,italy|questions,,italy|questions,
83931,dtoolbox2.com,d|toolbox|2,,dtoolbox|2,
80681,iactivateliveapp.com,i|activate|live|app,,iactivate|live|app,
47481,huitongnian.com,huitong|nian,,huitong|nian,
96962,davinci3dengine.com,davinci|3d|engine,,davinci|3d|engine,
15005,journeywus.com,journey|w|us,,journey|wus,
25125,arealtrading.com,a|real|trading,,areal|trading,
7668,glowwithgia.com,glow|with|gia,,glow|with|gia,
72567,gentlesleepfamily.com,gentle|sleep|family,,gentle|sleep|family,
24634,artisan-recordingstudio.com,artisan|recording|studio,,artisan|recording|studio,
51556,dough-sheeter.com,dough|sheeter,,dough|sheeter,
18417,drivernomadoguchi.com,driver|noma|doguchi,,driver|nomad|oguchi,
52456,fauxstr8.com,faux|str8,,faux|str8,
30667,gdcqt.com,gdcqt,,gd|cqt,
87922,dataohumility.com,da|tao|humility,,data|ohumility,
84828,femaoutfitters.com,fema|outfitters,,fema|outfitters,
36388,fraximsearch.com,fraxim|search,,fraxim|search,
74002,elmiria.com,el|miria,,elmiria,
31406,heavenation.com,heave|nation,,heaven|ation,
25966,contactaga.com,contact|aga,,contact|aga,
86741,fishingprints.com,fishing|prints,,fishing|prints,
25197,cl-bcn.com,cl|bcn,,cl|bcn,
80652,ccninos.com,cc|ninos,,cc|ninos,
67026,gelsetgrafica.com,gel|set|grafica,,gel|set|grafica,
27858,affectux.com,affect|ux,,affectux,
21338,aloha234slot.com,aloha|234|slot,,aloha|234|slot,
75212,cbreric.com,cbr|eric,,cbrer|ic,
32437,cardiometabolicsummit2024.com,cardio|metabolic|summit|2024,,cardio|metabolic|summit|2024,
22253,emersonwatts.com,emerson|watts,,emerson|watts,
90418,f61qv88.com,f61qv88,,f61|qv|88,
70037,foodfreezedryers.com,food|freeze|dryers,,food|freeze|dryers,
44336,berrodagua.com,berrod|agua,,berro|d|agua,
33999,columbusnewsonline.com,columbus|news|online,,columbus|news|online,
46680,brunachagasarquitetura.com,bruna|chagas|ar|quite|tura,,bruna|chagas|arquitetura,
34795,immocards.com,immo|cards,,immo|cards,
50168,jstransition.com,js|transition,,js|transition,
59792,infinixtcoin.com,infinixt|coin,,infinixt|coin,
22921,inotherwordse.com,in|other|wordse,,in|other|words|e,
32322,beeniesicecream.com,beenies|ice|cream,,be|enies|ice|cream,
28100,buymyrbetriqonline.com,buy|my|rbetriq|online,,buy|myr|betriq|online,
22925,dayoutdoors.com,day|outdoors,,day|outdoors,
81074,appresonate.com,appreso|nate,,app|resonate,
52777,carreramiahaysalida.com,carrera|mia|hay|salida,,carrera|mia|hay|salida,
55495,atsirecovery.com,ats|i|recovery,,atsi|recovery,
23188,jacomforts.com,ja|comforts,,ja|comforts,
82922,exceptionalleaders.com,exceptional|leaders,,exceptional|leaders,
74621,ganda88login.com,ganda|88|login,,ganda|88|login,
43128,evggds.com,evggds,,evg|gds,
26656,aiyou152.com,ai|you|152,,aiyou|152,
57353,b4byte.com,b4|byte,,b4|byte,
59036,decordeets.com,decor|deets,,decor|deets,
11470,avanipluspalmdubais.com,avani|plus|palm|dubais,,avani|plus|palm|dubai|s,
30171,espectopatronum.com,especto|patronum,,especto|patronum,
14298,datascience247.com,data|science|247,,data|science|247,
24351,enchantedstylesva.com,enchanted|styles|va,,enchanted|styles|va,
9936,bluexor.com,blue|xor,,blue|xor,
38235,joefoot.com,joe|foot,,joe|foot,
15556,activeleteathletics.com,active|lete|athletics,,active|lete|athletics,
82027,fa90.com,fa90,,fa|90,
39877,h0lpjpnlgen44i3dldpmhjns4m2l6bfh.com,h0lpjpnlgen44i3dldpmhjns4m2l6bfh,,h0|lpjpn|lgen|44i|3d|ldpm|hjns|4m2|l6|bfh,
70224,jccrichmond.com,jcc|richmond,,jc|crichmond,
65376,careersuccessaus.com,career|success|aus,,career|success|aus,
99576,cwellis.com,cw|ellis,,cw|ellis,
8058,geofencetag.com,geo|fence|tag,,geo|fence|tag,
78718,jessieannebrunson.com,jessie|anne|brunson,,jessie|anne|brunson,
61145,belairmvp.com,bel|air|mvp,,bel|air|mvp,
93546,botsaigonreadymix.com,bot|saigon|ready|mix,,bot|saigon|readymix,
61464,gardineranderson.com,gardiner|anderson,,gardiner|anderson,
45314,britisbulls.com,brit|is|bulls,,brit|is|bulls,
56102,btbtextile.com,btb|textile,,btb|textile,
34389,7fugame.com,7fu|game,,7|fugame,
91116,cpcapv.com,cpcapv,,cp|cap|v,
58904,floor911.com,floor|911,,floor|911,
53871,domimmo-transaction.com,domimmo|transaction,,dom|immo|transaction,
28904,br-777.com,br|777,,br|777,
48594,agorathlon.com,agorathlon,,agora|thlon,
6468,aibrainspace.com,ai|brain|space,,ai|brain|space,
44657,birstacity.com,birsta|city,,bir|sta|city,
4285,herdoglife.com,herd|og|life,,her|dog|life,
68563,justindumanlee.com,justin|duman|lee,,justin|duman|lee,
52382,bosgadangdev.com,bosga|dang|dev,,bos|gadang|dev,
68048,f3f1.com,f3f1,,f3|f1,
1493,1888getsbli.com,1888|gets|bli,,1888|get|sbli,
57572,8035888.com,8035888,,8035|888,
44529,attentivegoods.com,attentive|goods,,attentive|goods,
60627,gowerdclove.com,go|werd|clove,,gower|d|clove,
69461,badcinderellathemusical.com,bad|cinderella|the|musical,,bad|cinderella|themusical,
1962,airesyelectrodomesticos.com,aires|y|electro|domesticos,,aires|y|electro|domesticos,
8070,gritandlearning.com,grit|and|learning,,grit|and|learning,
13056,alpilahaircare.com,alpila|hair|care,,al|pila|hair|care,
38674,ishaanmehra.com,ishaan|mehra,,ishaan|mehra,
73355,jobsload.com,jobs|load,,jobs|load,
46825,apcargill.com,ap|car|gill,,ap|cargill,
19879,extreemgolfen.com,extreem|golf|en,,extreem|golf|en,
43526,donttouchmyclothing.com,dont|touch|my|clothing,,dont|touch|my|clothing,
44361,beyondthebathroom.com,beyond|the|bathroom,,beyond|the|bathroom,
44944,agustinpisonero.com,agustin|pisonero,,agustin|pisonero,
25742,ds-students.com,ds|students,,ds|students,
22137,939yf.com,939|yf,,939|yf,
43900,geologxl.com,geo|log|xl,,geo|log|xl,
59581,contentnowaiting.com,content|no|waiting,,content|no|waiting,
33741,doxaservices.com,doxa|services,,doxa|services,
4067,auerdicocreative.com,auerdico|creative,,auerdico|creative,
99794,9u0q41vo04c878ei4u9dug4g6jsof9cq.com,9u0q41vo04c878ei4u9dug4g6jsof9cq,,9u0|q41v|04c|878|ei4|u9|dug|4g|6j|sof|9cq,
13228,bodiiu.com,bodiiu,,bodiiu,
46209,egamecn.com,e|game|cn,,e|game|cn,
64431,buggaworld.com,bugga|world,,bugga|world,
90482,cnyingpi.com,cn|ying|pi,,c|nying|pi,
46256,atijarigestion.com,ati|jari|gestion,,at|ijari|gestion,
26688,chiefivey.com,chief|ivey,,chief|ivey,
90059,84f6d0ji6tma45m7gv89ficlr4ccvvt0.com,84f6d0ji6tma45m7gv89ficlr4ccvvt0,,84f6|d0|ji6|tma|45m|7gv|89|ficlr|4cc|vvt|0,
58253,cahillroofingnh.com,ca|hill|roofing|nh,,cahill|roofing|nh,
69049,extaselingerie.com,extase|lingerie,,extase|lingerie,
65756,familytreeclinic.com,family|tree|clinic,,family|tree|clinic,
14701,anandaconecta.com,ananda|conecta,,ananda|conecta,
22830,bbwd.com,bbwd,,bbwd,
30530,arabcofarm.com,arab|co|farm,,arabco|farm,
14866,buntinginspections.com,bunting|inspections,,bunting|inspections,
99475,church-brothers.com,church|brothers,,church|brothers,
13199,aquatechboats.com,aqua|tech|boats,,aqua|tech|boats,
53161,constructiondmb.com,construction|dmb,,construction|dmb,
25891,festijo.com,festijo,,festi|jo,
26842,5j5ja1.com,5j5ja1,,5j5|ja1,
29987,jessehazel.com,jesse|hazel,,jesse|hazel,
90004,30acostablanca.com,30|acosta|blanca,,30a|costa|blanca,
58036,foundertouch.com,founder|touch,,founder|touch,
75160,acvacars.com,ac|va|cars,,ac|vacars,
65260,compensacionaltrabajadornc.com,compensacional|trabajador|nc,,compensacion|al|trabajador|nc,
29766,judyasman1.com,judy|as|man|1,,judy|asman|1,
53994,advancedlaserbeauty.com,advanced|laser|beauty,,advanced|laser|beauty,
88276,foreignfeelinzapparel.com,foreign|feelinz|apparel,,foreign|feelinz|apparel,
95585,iconevcartparts.com,icon|ev|cart|parts,,icon|ev|cart|parts,
69952,innovationbonfire.com,innovation|bonfire,,innovation|bonfire,
69460,executivechristianmatch.com,executive|christian|match,,executive|christian|match,
70587,ht7uos0nu1nc89026o4bsc0g7md466fr.com,ht7uos0nu1nc89026o4bsc0g7md466fr,,ht7|uos|0nu|1nc|89026o4bsc0g7md|466fr,
13367,eliterents004.com,elite|rents|004,,elite|rents|004,
81232,gobuzzz.com,go|buzzz,,go|buzz,
71981,2rqmflfon427sa301o50b247b0pp1ao9.com,2rqmflfon427sa301o50b247b0pp1ao9,,2rqmflfon|427|sa|301|o|50|b|247|b|0|pp|1|ao|9,
28126,fancaptain.com,fan|captain,,fan|captain,
60645,headforpeace.com,head|for|peace,,head|for|peace,
14138,harvestsnooze.com,harvest|snooze,,harvest|snooze,
86868,cocoestudiocr.com,cocoe|studio|cr,,coco|estudio|cr,
1645,burlaceconstructions.com,burlace|constructions,,burlace|constructions,
47372,bombayburitto.com,bombay|buritto,,bombay|burrito,
17854,elviradavisinsurance.com,elvira|davis|insurance,,elvira|davis|insurance,
49225,ivfchemist.com,ivf|chemist,,ivf|chemist,
35289,eileenandco.com,eileen|and|co,,eileen|and|co,
45277,jangsong.com,jang|song,,jang|song,
8419,farmaciasdemalaga.com,farmacias|demalaga,,farmacias|de|malaga,
96559,1vendor.com,1|vendor,,1|vendor,
10235,120agencyplan.com,120|agency|plan,,120|agency|plan,
19235,bessielau.com,bessie|lau,,bessie|lau,
3989,58saint.com,58|saint,,58|saint,
60666,audiovideotranscription.com,audio|video|transcription,,audio|video|transcription,
37280,hrxjfc.com,hrxjfc,,hrx|jfc,
34798,barabasonline.com,barabas|online,,baraba|s|online,
30195,3wwxx.com,3wwxx,,3|wwxx,
27255,cherylbaum.com,cheryl|baum,,cheryl|baum,
40303,auenterprises.com,au|enterprises,,au|enterprises,
90800,bloomroadconsulting.com,bloom|road|consulting,,bloom|road|consulting,
44826,295633.com,295633,,295633,
25528,ailingeries.com,ai|lingeries,,ai|lingeries,
48857,direct2enochs.com,direct|2|enochs,,direct|2|enochs,
61432,deloittelabs.com,deloitte|labs,,deloitte|labs,
54911,hq1110.com,hq1110,,hq|1110,
13926,digitalnurjahan.com,digital|nurjahan,,digital|nurjahan,
91094,bcnbm0tqvoieujnd2gei8if1gt5ng7o5.com,bcnbm0tqvoieujnd2gei8if1gt5ng7o5,,bcnbm|0tq|voie|ujnd|2gei|8if|1gt|5ng|7o|5,
19656,collectorautomobiles.com,collector|automobiles,,collector|automobiles,
92156,cashfinancialllc.com,cash|financial|llc,,cash|financial|llc,
70537,1myfarm.com,1|my|farm,,1|my|farm,
32753,48660531.com,48660531,,48660531,
56463,csanimes.com,cs|animes,,cs|animes,
74898,foodfitnessandlife.com,food|fitness|and|life,,food|fitness|and|life,
5520,dmvluxurycoach.com,dmv|luxury|coach,,dmv|luxury|coach,
20169,apureblisssalonanddayspa.com,a|pure|bliss|salon|and|day|spa,,a|pure|bliss|salon|and|day|spa,
34467,huihuida.com,hui|hui|da,,hui|huida,
30177,cast365.com,cast|365,,cast|365,
70460,bolichefilmes.com,boliche|filmes,,boliche|filmes,
76325,follettccp.com,follett|ccp,,follett|ccp,
97739,jaxquotes.com,jax|quotes,,jax|quotes,
13782,bellemonat.com,bellemo|nat,,belle|monat,
28716,clarencemanor.com,clarence|manor,,clarence|manor,
89696,ibrahimandibrahim.com,ibrahim|and|ibrahim,,ibrahim|and|ibrahim,
25713,discountedspray.com,discounted|spray,,discounted|spray,
2565,huaruiwm.com,huarui|wm,,hua|rui|wm,
30523,customprintsnz.com,custom|prints|nz,,custom|prints|nz,
89689,hg55278.com,hg55278,,hg|55278,
64797,amyrischemicals.com,amyris|chemicals,,amyris|chemicals,
43464,dontmanchinit.com,dont|man|chin|it,,dont|man|chinit,
12304,botembetullochgroup.com,botem|betulloch|group,,botem|bet|ulloch|group,
39041,cheteatro.com,chet|eat|ro,,che|teatro,
53627,dogtraineraugusta.com,dog|trainer|augusta,,dog|trainer|augusta,
61720,grtogether.com,gr|together,,gr|together,
72883,ge19pd9ldn82l55quqntfmuj05gccdr0.com,ge19pd9ldn82l55quqntfmuj05gccdr0,,ge19|pd9|ldn|82l|55|quq|nt|fm|uj|05|gccdr|0,
26382,irlbach.com,irl|bach,,irl|bach,
89439,chasityfortenberry.com,chasity|for|ten|berry,,chasity|fort|enberry,
34855,ericlingram.com,eric|lingram,,eric|lingram,
50455,080zy.com,080zy,,080|zy,
14914,arechiga.com,arechiga,,arechiga,
32418,anxacoaching.com,anxa|coaching,,anxa|coaching,
16763,californiasba.com,california|sba,,california|sba,
44560,decarbmyfootprint.com,decarb|my|footprint,,decarb|my|footprint,
16860,demcoelectrical.com,demco|electrical,,demco|electrical,
48831,cjelcreadorconstruction.com,cj|el|creador|construction,,cjel|creador|construction,
41139,autorepairandsmog.com,auto|repair|and|smog,,auto|repair|and|smog,
60230,floridamoldremediationpros.com,florida|mold|remediation|pros,,florida|mold|remediation|pros,
33794,digitalconverters.com,digital|converters,,digital|converters,
89881,familycenteroftempleterrace.com,family|center|of|temple|terrace,,family|center|of|temple|terrace,
90723,atomopt.com,atom|opt,,atom|opt,
72934,hatsu-no.com,hatsu|no,,hatsu|no,
5722,clevelandovereverything.com,cleveland|over|everything,,cleveland|over|everything,
12966,auctoritasrecords.com,auctoritas|records,,auctoritas|records,
72533,c-xm.com,c|xm,,c|xm,
18835,judahgraham.com,judah|graham,,judah|graham,
1296,glagstudio.com,glag|studio,,glag|studio,
28376,conejosecurity.com,conejo|security,,conejo|security,
5586,code-caapi.com,code|caapi,,code|caapi,
94942,activatesedomls.com,activat|ese|dom|ls,,activate|sedo|mls,
73584,corefxcrm.com,core|fxcrm,,core|fx|crm,
70835,bowtownh.com,bow|town|h,,bow|town|h,
13142,insidewindsor.com,inside|windsor,,inside|windsor,
69510,discerning-taste.com,discerning|taste,,discerning|taste,
69237,jonandhailey.com,jon|and|hailey,,jon|and|hailey,
89802,decal-global.com,decal|global,,decal|global,
19763,feelgood120.com,feel|good|120,,feel|good|120,
64390,eastmancpa.com,east|man|cpa,,eastman|cpa,
87550,cdbenma.com,cd|ben|ma,,cd|benma,
65443,evvaclip.com,ev|va|clip,,evva|clip,
94063,buyingdrip.com,buying|drip,,buying|drip,
65739,dinaysm.com,dina|ysm,,dina|ysm,
62301,generaldynamicscareers.com,general|dynamics|careers,,general|dynamics|careers,
15762,almacenricoh.com,al|macen|ricoh,,almacen|rico|h,
75909,3b3o9ddj3091q58ci6faf75lvtmdb16l.com,3b3o9ddj3091q58ci6faf75lvtmdb16l,,3b3|o9|ddj|3091|q58|ci6|faf|75|lvt|mdb|16l,
48383,aynurabbott.com,aynur|abbott,,aynur|abbott,
12618,albuquerqueremote.com,albuquerque|remote,,albuquerque|remote,
89541,duxinlan.com,du|xin|lan,,dux|in|lan,
36789,fvgrth46722.com,fvgrth46722,,fvgrth|46722,
4774,bestgoalmovers.com,best|goal|movers,,best|goal|movers,
6489,filmapes.com,film|apes,,film|apes,
13100,gujarat360.com,gujarat|360,,gujarat|360,
32075,decarbintelligence.com,decarb|intelligence,,decarb|intelligence,
72126,ghanainvesttour.com,ghana|invest|tour,,ghana|invest|tour,
29927,fly-wild.com,fly|wild,,fly|wild,
78001,aaadiamondrings.com,aaa|diamond|rings,,aaa|diamond|rings,
40631,fittszehl.com,fitts|zehl,,fitts|zehl,
29280,cenizowildlife.com,cenizo|wild|life,,cenizo|wildlife,
32000,42394.com,42394,,42394,
44197,blissestheticsllc.com,bliss|esthetics|llc,,bliss|esthetics|llc,
25781,containergarages-usa.com,container|garages|usa,,container|garages|usa,
15757,bjsgwce.com,bjsgwce,,bjs|gw|ce,
70538,doggydayjobs.com,doggy|day|jobs,,doggy|day|jobs,
59041,durbec.com,durbec,,dur|bec,
64163,creazionebijoux.com,creazione|bijou|x,,creazione|bijoux,
33861,aguglobal.com,agu|global,,agu|global,
26464,ag3239.com,ag3239,,ag|3239,
10476,firstmemorialduncan.com,first|memorial|duncan,,first|memorial|duncan,
29042,carspictures.com,cars|pictures,,cars|pictures,
73737,alltogether-entrepreneurship.com,all|together|entrepreneurship,,all|together|entrepreneurship,
23459,aqueumconsultancy.com,aqueum|consultancy,,aqueum|consultancy,
1832,iglesiarestauracolombia.com,iglesia|rest|aura|colombia,,iglesia|restaura|colombia,
60152,8yus.com,8yus,,8|yus,
92543,dazber.com,dazber,,daz|ber,
54751,actifout.com,actif|out,,acti|fout,
19652,jumblebundle.com,jumble|bundle,,jumble|bundle,
86026,hiddenwiregroup.com,hidden|wire|group,,hidden|wire|group,
88317,darqpensar.com,darq|pensar,,darq|pensar,
36435,abbyfarhat.com,abby|farhat,,abby|farhat,
47885,armurerie-tpc.com,armurerie|tpc,,armurerie|tpc,
86117,evanrwilson.com,evan|r|wilson,,evan|rw|wilson,
90028,joyfulwaves.com,joyful|waves,,joyful|waves,
8630,jequieimprensa.com,je|quie|imprensa,,jequie|imprensa,
69763,helenlab.com,helen|lab,,helen|lab,
41596,edgewoodinsus.com,edge|wood|ins|us,,edgewood|ins|us,
78711,aphroditeslounge.com,aphrodites|lounge,,aphrodite|s|lounge,
52349,ifixstorepr.com,i|fix|store|pr,,ifix|store|pr,
