,RefID,Domain_Name,Manual1,Manual2,ChatGPT_4o,Instant_Segment,English?
753,63159.0,byuscorp.com,byus|corp,by|us|corp,by|us|corp,,Yes
763,77566.0,emysdaycare.com,emys|day|care,emys|daycare,emys|daycare,,Yes
765,14398.0,harmophy.com,harm|ophy,harmophy,harmo|phy,,Yes
769,96543.0,cilentoautenticodmo.com,cilento|autentico|dmo,cilentoautenticodmo,cilento|autentico|dmo,,No
773,17781.0,antiquesuperstore.com,antique|super|store,antique|superstore,antique|superstore,,Yes
775,96010.0,dvicenteabogados.com,dvicen|tea|bogados,dvicente|abogados,d|vicente|abogados,,No
786,55291.0,bellapiedi.com,bella|piedi,bellapiedi,bella|piedi,,Yes
787,81423.0,au2indretning.com,au2indretning,au|2|indretning,au2|indretning,,Yes
788,33683.0,dwarproductions.com,dwar|productions,d|war|productions,dwar|productions,,Yes
791,90276.0,cardhubx.com,card|hub|x,card|hubx,card|hubx,,Yes
792,46164.0,activatedewards.com,activate|dewards,activated|ewards,activate|d|wards,,Yes
799,696.0,airportexplorer.com,air|port|explorer,airport|explorer,airport|explorer,engineering|bms,Yes
800,20335.0,gwarrow.com,g|warrow,gw|arrow,g|warrow,,Yes
801,6093.0,ezz-theticrecords.com,ezz|the|tic|records,ezz|thetic|records,ezz|thetic|records,,Yes
802,76553.0,bonnvischan.com,bonnvis|chan,bonnvischan,bonn|vischan,,No
803,98295.0,doctorespuertoescondido.com,doctor|espuerto|escondido,doctor|es|puerto|escondido,doctores|puerto|escondido,,No
806,8996.0,acesector159noida.com,ace|sector|159|noida,ace|sector|159|no|ida,ace|sector|159|noida,,Yes
808,27719.0,cartonnidodeabeja.com,carton|nidodeabeja,carton|nidode|abeja,carton|nido|de|abeja,,No
815,42934.0,armapillo.com,arm|apillo,armapillo,arma|pillo,,Yes
822,95772.0,aimterapia.com,aim|terapia,aimterapia,aim|terapia,,No
828,91387.0,detechies.com,de|techies,detechies,de|techies,,No
832,42514.0,harmonphysicaltherapy.com,harm|on|physical|therapy,harmon|physical|therapy,harmon|physical|therapy,,Yes
842,52810.0,cticontech.com,cti|con|tech,ct|icon|tech,cti|con|tech,,Yes
846,40034.0,boxcarpzix.com,box|carp|zix,boxcar|pzix,box|carp|zix,,Yes
848,49308.0,downtownlastudios.com,down|town|la|studios,downtown|la|studios,downtown|la|studios,,Yes
849,91758.0,autocars-savac.com,auto|cars|savac,autocars|savac,auto|cars|savac,,Yes
851,45863.0,dx301.com,dx|301,dx301,dx|301,,No
855,78120.0,haiwenwl.com,haiwen|wl,hai|wen|wl,hai|wen|wl,,No
856,1839.0,banca499.com,banca|499,banca499,banca|499,,No
857,52661.0,donyayenoor.com,donya|yenoor,donyayenoor,donyay|enoor,,No
860,97681.0,flexpertlegal.com,fl|expert|legal,flex|pert|legal,flex|pert|legal,,Yes
875,40821.0,buberme.com,buberme,b|uber|me,bub|er|me,,Yes
887,62990.0,carlisleparts.com,car|lisle|parts,carlisle|parts,carlisle|parts,,Yes
888,36880.0,19iem.com,19iem,19|iem,19|iem,,No
889,55578.0,intellimedtech.com,intellimed|tech,intelli|med|tech,intelli|med|tech,,Yes
891,76103.0,abelbuzarquis.com,abel|buzarquis,abelbuzarquis,abel|buzarquis,,No
896,79345.0,consultoriagca.com,consult|oriagca,consultoria|gca,consultoria|gca,,No
898,16741.0,evenders.com,even|ders,ev|enders,even|ders,,Yes
903,853.0,casibom843.com,casi|bom843,casibom843,casibom|843,be|that|wildflower,Yes
905,64395.0,eartevgo.com,eartevgo,eart|ev|go,ear|tev|go,,Yes
906,18455.0,abcvoosbaratos.com,abc|voos|baratos,abcvoosbaratos,abc|voos|baratos,,No
907,48196.0,dimoraaganoor.com,dimora|aganoor,dimoraaganoor,dimora|aga|noor,,No
917,95362.0,hhuttonadminservices.com,hhutton|admin|services,h|hutton|admin|services,hhutton|admin|services,,Yes
918,21131.0,danlesgroup.com,dan|les|group,danles|group,danles|group,,Yes
920,44307.0,amitechdesign.com,ami|tech|design,amitech|design,amitech|design,,Yes
923,5755.0,baeaimoveis.com,baeai|move|is,baeai|moveis,bae|aimo|veis,,Yes
928,24536.0,alberguelabarraca.com,albergue|la|barraca,alberguela|barraca,albergue|la|barraca,,No
929,44795.0,habeebe.com,habeebe,ha|bee|be,habe|ebe,,No
933,71251.0,bestbeefintl.com,best|bee|fintl,best|beef|intl,best|beef|intl,,Yes
936,907.0,billboardslasvegas.com,bill|boards|las|vegas,billboards|las|vegas,billboards|las|vegas,st|priority|hh,Yes
943,12830.0,gigiemmevacanze.com,gigi|emmevacanze,gigiemme|vacanze,gigi|emme|vacanze,,No
944,27601.0,clcconsultancyco.com,clc|consult|ancyco,clc|consultancy|co,clc|consultancy|co,,Yes
955,68319.0,educacioncaninasevilla.com,educacion|caninase|villa,educacion|canina|se|villa,educacion|canina|sevilla,,No
960,82765.0,grivinsegr.com,grivinsegr,grivinse|gr,grivin|segr,,No
963,84558.0,benetstore.com,benet|store,be|net|store,benet|store,,Yes
964,82141.0,globalstrawberry.com,global|straw|berry,global|strawberry,global|strawberry,,Yes
965,46529.0,bidderoo.com,bid|deroo,bidderoo,bidder|oo,,Yes
968,68788.0,elrealtypr.com,el|real|typr,el|realty|pr,el|realty|pr,,No
969,84611.0,grupoberhfer.com,grupo|berhfer,grupoberhfer,grupo|berh|fer,,No
978,60406.0,hydrogelfilters.com,hydro|gel|filters,hydrogel|filters,hydrogel|filters,,Yes
980,88007.0,epicogateway.com,epico|gate|way,epico|gateway,epico|gateway,,Yes
983,96912.0,animation-pipeline.com,animation|pipe|line,animation|pipeline,animation|pipeline,,Yes
984,51301.0,avvsamantabufalini.com,avvsamanta|bufalini,avvsamantabufalini,avv|samanta|bufalini,,No
986,4033.0,barbusu.com,barbusu,bar|busu,bar|busu,,Yes
988,89359.0,biolab1.com,bio|lab1,bio|lab|1,bio|lab1,,Yes
989,60411.0,demrawan.com,demrawan,demra|wan,dem|rawan,,No
994,4892.0,consuladolanzarote.com,consul|adolanzarote,consulado|lanzarote,consulado|lanzarote,,No
997,28878.0,devpha.com,devpha,dev|pha,dev|pha,,Yes
999,48058.0,datongjc.com,datongjc,da|tong|jc,datong|jc,,Yes
1001,728.0,eenode.com,eenode,ee|node,ee|node,extrovert|band,Yes
1005,35526.0,jhenaidah0204.com,jhena|idah0204,jhenaidah0204,jhenaidah|0204,,No
1009,19678.0,eleusistradeco.com,eleusistra|deco,eleusis|trade|co,eleusis|trade|co,,Yes
1011,24990.0,jandjadventures.com,j|and|j|adventures,jandja|dventures,j|and|j|adventures,,Yes
1012,64364.0,ecolotees.com,eco|lot|ees,eco|lotees,eco|lo|tees,,Yes
1013,92552.0,ezrobotsentertainment.com,ezro|bots|entertainment,ez|robots|entertainment,ez|robots|entertainment,,Yes
1019,21528.0,carriazetech.com,carria|zetech,carriaze|tech,carriaze|tech,,Yes
1023,533.0,heiluotuo.com,hei|luo|tuo,heiluotuo,heiluo|tuo,hero|douglas,No
1024,53236.0,huashenhj.com,hua|shen|hj,huashenhj,huashen|hj,,No
1025,64836.0,cloudsimera.com,clouds|imera,cloud|simera,cloud|simera,,Yes
1029,38518.0,coloridilana.com,color|idilana,colori|dilana,colori|di|lana,,No
1039,47089.0,brilolifestyles.com,brilo|life|styles,brilo|lifestyles,brilo|lifestyles,,Yes
1041,66113.0,deqianjiaoyu.com,de|qian|jiaoyu,deqian|jiaoyu,de|qian|jiaoyu,,No
1047,38884.0,afrastheticsforyourworld.com,afrasthetics|for|your|world,afr|asthetics|for|your|world,afras|thetics|for|your|world,,Yes
1051,40330.0,jaiohare.com,jai|ohare,jaio|hare,jai|ohare,,Yes
1060,73844.0,e-clipsmedia.com,e|clips|media,eclips|media,e|clips|media,,Yes
1064,84542.0,halfloween.com,half|loween,halfloween,half|loween,,Yes
1071,92360.0,jundoss.com,jun|doss,jundoss,jun|doss,,No
1073,18832.0,idnet-nl.com,idnet|nl,id|net|nl,id|net|nl,,Yes
1074,44574.0,bbet9119.com,bbet9119,b|bet|9119,bbet|9119,,No
1078,64090.0,geldtraum.com,geldtraum,geld|traum,geld|traum,,No
1083,17299.0,avconamerica.com,av|con|america,avcon|america,avcon|america,,Yes
1091,71841.0,108underwear.com,108|under|wear,108|underwear,108|underwear,,Yes
1098,50062.0,comprarcocheenibiza.com,comprar|cocheen|ibiza,comprar|coche|en|ibiza,comprar|coche|en|ibiza,,No
1102,93927.0,amys-pfotenfreunde.com,amys|pfotenfreunde,amys|pfoten|freunde,amys|pfoten|freunde,,No
1105,44803.0,ageetvie.com,ageet|vie,age|et|vie,age|et|vie,,No
1117,38842.0,commrefrigconslaz.com,commrefrigconslaz,comm|refrig|conslaz,comm|refrig|conslaz,,No
1118,43335.0,abcdeforex.com,abcde|forex,abcdef|orex,abc|de|forex,,No
1121,86688.0,inspectisgroup.com,inspect|is|group,inspectis|group,inspect|is|group,,Yes
1137,40889.0,fororutas.com,for|orutas,fororutas,foro|rutas,,No
1146,89243.0,itborna.com,itborna,it|borna,it|borna,,Yes
1151,14522.0,jara2000.com,jara|2000,jara2000,jara|2000,,No
1152,96756.0,devinnunesyoutube.com,devin|nunes|youtube,devinnunes|youtube,devin|nunes|youtube,,Yes
1160,72367.0,glenmaryfarms.com,glen|mary|farms,glenmary|farms,glen|mary|farms,,Yes
1161,54141.0,byganz.com,byganz,by|ganz,by|ganz,,Yes
1179,37669.0,dashesy.com,dash|esy,dashesy,dash|esy,,Yes
1184,95914.0,juliagrandeart.com,julia|grandeart,julia|grande|art,julia|grande|art,,Yes
1186,19231.0,coghillmedia.com,cog|hill|media,coghill|media,cog|hill|media,,Yes
1191,21842.0,autosdeportivosdelujo.com,autos|deportivos|delujo,autos|deportivos|de|lujo,autos|de|portivos|del|ujo,,No
1196,35922.0,astrologerparmeshwar.com,astrologer|parmesh|war,astrologer|parmeshwar,astrologer|parmeshwar,,Yes
1215,70445.0,carsmiami-rents.com,cars|miami|rents,carsmiami|rents,cars|miami|rents,,Yes
1217,68143.0,boislaurentien.com,bois|laurent|ien,bois|laurentien,bois|laurentien,,Yes
1219,51577.0,areacode-jp.com,area|code|jp,areacode|jp,area|code|jp,,Yes
1224,24537.0,dinfremtid.com,dinfremtid,din|fremtid,din|fremtid,,No
1225,78945.0,baseball-store.com,base|ball|store,baseball|store,baseball|store,,Yes
1231,68446.0,jesuisbeau.com,jesuis|beau,jesu|is|beau,je|suis|beau,,Yes
1239,8157.0,cosslong.com,cosslong,coss|long,coss|long,,Yes
1241,12049.0,gragnanofood.com,grag|nano|food,gragnano|food,gragnano|food,,Yes
1243,70565.0,bancoitauconsignadossa.com,ban|coitau|con|signa|dossa,banco|itau|consignados|sa,banco|itau|consignados|sa,,No
1244,9876.0,effalldebt.com,effall|debt,eff|all|debt,eff|all|debt,,Yes
1248,82115.0,fivediamondsedanservice.com,five|diamond|sedan|service,five|diamonds|edan|service,five|diamond|sedan|service,,Yes
1249,8170.0,5wuma.com,5wuma,5w|uma,5|wuma,,No
1250,83525.0,ibsbelladc.com,ibs|bell|adc,ibs|bella|dc,ibs|bella|dc,,Yes
1252,56794.0,headwaterinfo.com,head|water|info,headwater|info,head|water|info,,Yes
1256,91505.0,bellounette.com,bell|ounette,bello|unette,bello|unette,,No
1265,18952.0,allmetsafetytools.com,allmet|safety|tools,all|met|safety|tools,all|met|safety|tools,,Yes
1267,13868.0,didaoxian.com,didao|xian,didaoxian,didao|xian,,No
1273,38463.0,almostaghfirmobile.com,almost|aghfir|mobile,almost|agh|firm|obile,almost|agh|firm|mobile,,Yes
1281,9986.0,ibonetxebeste.com,ibonetxebeste,ibone|txebeste,ibone|txebeste,,No
1285,28672.0,getecosystem.com,get|eco|system,get|ecosystem,get|ecosystem,,Yes
1289,5506.0,danielepillittu.com,daniel|e|pillittu,daniele|pillittu,daniele|pillittu,,Yes
1291,248.0,fnnow.com,fnnow,fn|now,fn|now,love|cycling,Yes
1296,60531.0,hugorhill.com,hug|or|hill,hugo|r|hill,hugor|hill,,Yes
1297,4454.0,aiamaine.com,aiamaine,aia|maine,aia|maine,,Yes
1299,26572.0,airconditionerslahabra.com,air|conditioners|lahabra,air|conditioners|la|habra,air|conditioners|la|habra,,Yes
1302,66151.0,indilisa.com,indilisa,indi|lisa,indilisa,,Yes
1305,65995.0,bacbtu.com,bacbtu,bac|btu,bac|btu,,Yes
1311,7260.0,aliexbest.com,ali|exbest,aliex|best,ali|ex|best,,Yes
1318,14009.0,cajavus.com,cajavus,caja|vus,caja|vus,,No
1328,63453.0,ingdna.com,ingdna,ing|dna,ing|dna,,Yes
1330,19827.0,hf88888vip2.com,hf|88888|vip|2,hf88888|vip|2,hf|88888|vip2,,Yes
1334,5267.0,barzito.com,bar|zito,barzito,bar|zito,,No
1336,79408.0,colorleaf-craft.com,color|leaf|craft,colorleaf|craft,color|leaf|craft,,Yes
1345,36071.0,cheryltbo.com,cheryl|t|bo,cheryl|tbo,cheryl|tbo,,Yes
1350,13809.0,bitradehm.com,bit|radehm,bitradehm,bit|rade|hm,,No
1360,16551.0,igrowaz.com,igrowaz,i|grow|az,i|grow|az,,Yes
1363,12778.0,casangladabenasque.com,casangla|dabenasque,casa|nglada|benasque,casa|nglada|benasque,,No
1367,46280.0,avivitdesign.com,avi|vit|design,avivit|design,avi|vit|design,,Yes
1384,48770.0,atc86.com,atc|86,atc86,atc|86,,No
1388,10729.0,alboeyewear.com,albo|eye|wear,albo|eyewear,albo|eyewear,,Yes
1393,93154.0,dolgulusimit.com,dolgulus|imit,dolgulu|simit,dol|gulu|sim|it,,No
1396,8899.0,engyluz.com,eng|y|luz,engy|luz,engy|luz,,No
1397,93591.0,functionalmedjumpstart.com,functional|med|jump|start,functional|med|jumpstart,functional|med|jumpstart,,Yes
1400,53695.0,averhealh.com,averhealh,aver|healh,aver|heal|h,,Yes
1401,86992.0,baizhi178.com,baizhi|178,baizhi178,baizhi|178,,No
1402,70472.0,jiaxunsy.com,jia|xunsy,jiaxunsy,jiax|un|sy,,No
1407,82895.0,busfactorpodcast.com,bus|factor|pod|cast,bus|factor|podcast,bus|factor|podcast,,Yes
1409,62910.0,gftab.com,gftab,gf|tab,gf|tab,,Yes
1410,53182.0,basisplaatventielen.com,basis|plaatventielen,basisplaat|ventielen,basis|plaat|ventielen,,No
1411,60870.0,hanindersachdeva.com,hanindersachdeva,haninder|sachdeva,haninder|sach|deva,,No
1421,11770.0,315huojia.com,315|huo|jia,315|huojia,315|huojia,,Yes
1429,70704.0,equipemadore.com,equip|emadore,equipe|madore,equipe|madore,,No
1445,43229.0,hbhideaway.com,hb|hide|away,hb|hideaway,hb|hideaway,,Yes
1446,3859.0,betball90-d.com,bet|ball|90|d,bet|ball|90-d,bet|ball|90|d,,Yes
1447,74805.0,buyezmessenger.com,buyez|messenger,buy|ez|messenger,buy|ez|messenger,,Yes
1448,94890.0,esmanumanovic.com,esmanumanovic,esma|numanovic,es|manu|man|ovic,,No
1454,55753.0,csvrxviagra.com,csvrx|viagra,csv|rx|viagra,csv|rx|viagra,,Yes
