,0,1,2,3,4,instant_segment,5,"Disagreement Type (D, P, C, F, T, N)",D = Disagreement
196,38665,contractorsteamllc.com,contractor|steam|llc,contractors|team|llc,contractors|team|llc,contractors|team|llc,Yes,D,
197,6925,enziglow.com,enzig|low,enzi|glow,enz|i|glow,enzi|glow,Yes,D,
202,92695,heartothemountain.com,heart|o|the|mountain,hear|to|the|mountain,heart|of|the|mountain,hear|to|the|mountain,Yes,D,
205,94815,asterisies.com,aster|isies,asterisies,aster|isies,aster|is|ies,Yes,N,
215,75671,anaelearning.com,ana|elearning,anae|learning,anae|learning,ana|elearning,Yes,D,
217,77062,heolanicreations.com,heol|ani|creations,heo|lani|creations,heolani|creations,he|olan|i|creations,Yes,N,
223,29803,dropintotech.com,drop|in|to|tech,drop|into|tech,drop|in|to|tech,drop|into|tech,Yes,C,
232,99274,demaddis.com,de|maddis,demaddis,dem|addis,dem|add|is,No,F,
247,73286,allairedavis.com,all|aire|davis,allaire|davis,allaire|davis,allaire|davis,Yes,D,
258,60815,bouillouses.com,bouil|louses,bouillouses,bouillouses,bou|illo|uses,No,F,
269,19311,fflluxe.com,fflluxe,ffl|luxe,ffl|luxe,ffl|luxe,Yes,D,
271,15407,avamaerowe.com,ava|mae|rowe,avamaerowe,ava|mae|rowe,av|am|aero|we,No,N,
274,55084,csepoalphatech.com,csepoalpha|tech,cse|po|alpha|tech,csep|o|alpha|tech,cse|po|alphatech,Yes,D,
275,95134,expertradings.com,exper|tradings,expert|radings,expert|radings,exper|trading|s,Yes,P,
278,89621,heng93.com,heng93,heng|93,heng|93,heng,No,F,
279,73112,finansustrategas.com,finansu|strategas,finansustrategas,finans|us|strategas,finans|ust|rate|gas,No,D,
284,68648,downtownoasis.com,down|town|oasis,downtown|oasis,downtown|oasis,downtown|oasis,Yes,C,
285,95132,halcophelps.com,hal|cop|helps,halco|phelps,halco|phelps,halco|phelps,Yes,D,
286,78456,jl128.com,jl128,jl|128,jl|128,jl,No,R,
295,19956,fastnerspoint.com,fast|ners|point,fastners|point,fastners|point,fastners|point,Yes,D,
297,76569,jy3824.com,jy3824,jy|3824,jy|3824,jy,No,R,
299,44342,indoorharvester.com,in|door|harvester,indoor|harvester,indoor|harvester,indoor|harvester,Yes,C,
307,58462,bednarzfamily.com,bed|narz|family,bednarz|family,bednarz|family,bednarz|family,Yes,D,
316,21589,gwinnettcountybraves.com,g|winnett|county|braves,gwinnett|county|braves,gwinnett|county|braves,gwinnett|county|braves,Yes,N,
323,99037,betteringz.com,bette|ringz,betteringz,better|ing|z,bettering|z,Yes,D,
353,95481,isgdatabasedevelopment.com,isg|data|base|development,isg|database|development,isg|database|development,is|g|database|development,Yes,C,
359,24412,centroservizicapalbio.com,centro|servizi|capalbio,centro|servizica|palbio,centro|servizi|capalbio,centro|servizi|cap|al|bio,No,F,
375,97835,football-scene.com,foot|ball|scene,football|scene,football|scene,football|scene,Yes,C,
377,6150,apostabet77.com,a|post|a|bet|77,aposta|bet|77,apostabet|77,a|post|a|bet,Yes,F,
379,78820,cuchillostrenzados.com,cuchillo|strenzados,cuchillos|trenzados,cuchillos|trenzados,cu|chill|os|trenz|a|dos,No,F,
381,53135,dunadeldaryoush.com,duna|del|daryoush,dunadeldaryoush,duna|del|dary|oush,dun|ad|eldar|you|sh,No,N,
382,86540,abellehayford.com,abelle|hayford,abelle|hay|ford,abelle|hayford,a|belle|hayford,Yes,N,
383,76812,aguacatesechartea.com,agua|catese|chartea,aguacatesechartea,aguacates|echartea,agua|cates|e|chart|ea,No,F,
385,60072,jandrliquidations.com,jandr|liquidations,j|and|r|liquidations,jandr|liquidations,jan|dr|liquidations,Yes,D,
391,10539,164hu.com,164hu,164|hu,164|hu,hu,No,R,
394,73078,alfazeta.com,al|fazeta,alfa|zeta,alfa|zeta,alfa|zeta,Yes,D,
399,35129,ashtxn.com,ashtxn,ash|txn,ash|txn,ash|txn,Yes,D,
400,10782,jvstr.com,jvstr,jv|str,jv|str,jv|str,Yes,R,
401,44018,114ef.com,114ef,114|ef,114|ef,ef,No,R,
402,63479,520iee.com,520iee,520|iee,520|iee,iee,No,R,
405,5734,basmalaaus.com,basmala|aus,basmalaaus,basmala|aus,basma|la|a|us,No,R,
407,33203,foreverpathwaysministries.com,forever|pathways|ministries,forever|path|ways|ministries,forever|pathways|ministries,forever|pathways|ministries,Yes,C,
411,57816,isatissoome.com,i|sat|issoome,isatissoome,isatis|soome,is|at|is|so|ome,No,R,
419,19861,fatimaboscodalat.com,fatima|boscodalat,fatima|bosco|dalat,fatima|bosco|dalat,fatima|bosco|dalat,Yes,N,
431,51141,aty992.com,aty992,aty|992,aty|992,at|y,Yes,R,
436,21382,digitesouro.com,digit|esouro,digites|ouro,digite|souro,digit|es|our|o,No,F,
444,32432,cabmedvaanissen.com,cabmed|vaanissen,cab|med|vaanissen,cabmed|vaan|issen,cab|med|va|a|nissen,No,N,
446,35583,blastafoodrecipes.com,blasta|food|recipes,blast|a|food|recipes,blasta|food|recipes,blast|a|food|recipes,Yes,D,
460,78559,gabinetegalaniglesias.com,gabi|netegalan|iglesias,gabinet|egalan|iglesias,gabinete|galan|iglesias,gabinete|galan|iglesias,No,N,
469,93569,dyegenx.com,dye|genx,dye|gen|x,dye|genx,dye|genx,Yes,D,
480,37528,jpziyuan.com,jpzi|yuan,jp|zi|yuan,jp|ziyuan,jp|zi|yuan,No,F,
487,21012,ebonyoneverything.com,ebony|on|everything,ebony|on|every|thing,ebony|on|everything,ebony|on|everything,Yes,C,
491,12008,dodexo.com,dodexo,do|dexo,dod|exo,dod|exo,Yes,R,
497,97916,702mlan.com,702mlan,702|mlan,702|mlan,ml|an,Yes,R,
499,57943,dogurineremovers.com,dogurine|removers,dog|urine|removers,dog|urine|removers,dog|urine|removers,Yes,D,
515,73292,dadaxz.com,dad|axz,dada|xz,dada|xz,dada|xz,Yes,R,
521,27242,centrohipicomaasbree.com,centro|hipico|maas|bree,centrohipicomaasbree,centro|hipico|maasbree,centro|hi|pico|maas|bree,Yes,F,
522,81027,drlnlaws.com,dr|ln|laws,dr|lnlaws,dr|ln|laws,dr|ln|laws,Yes,D,
528,57265,electronicafromusic.com,electronic|afro|music,electronica|fro|music,electronica|from|music,electronic|afro|music,Yes,D,
542,87399,grupoproimpsac.com,grupo|proimpsac,grupo|pro|imp|sac,grupo|pro|imp|sac,grupo|pro|imp|sac,Yes,F,
548,33210,ismile-dentalcare.com,i|smile|dental|care,i|smile|dentalcare,i|smile|dental|care,is|mile|dental|care,Yes,D,
550,12118,ellxi.com,ell|xi,ellxi,ell|xi,el|lxi,Yes,R,
551,66571,abarroteriaelrey.com,abarro|teria|el|rey,abarroteria|el|rey,abarroteria|el|rey,a|barro|teria|el|rey,No,F,
569,30358,jetportgas.com,jet|port|gas,jetport|gas,jet|port|gas,jetport|gas,Yes,C,
583,88874,iamagtech.com,iamag|tech,ia|magtech,iam|ag|tech,i|am|a|gtech,Yes,D,
587,89367,hthvip1573.com,hthvip1573,hth|vip|1573,hth|vip|1573,hth|vip,Yes,R,
590,21920,cooperstownmotel.com,coopers|town|motel,cooperstown|motel,cooperstown|motel,cooperstown|motel,Yes,N,
592,57197,batimmoplus.com,batimmo|plus,bat|immo|plus,batimmo|plus,bat|immo|plus,Yes,D,
594,19008,jingruxin.com,jing|ruxin,jing|ru|xin,jing|ru|xin,jing|rux|in,No,F,
595,65607,gordonmonangfusion.com,gordon|monang|fusion,gordon|mon|ang|fusion,gordon|monang|fusion,gordon|mon|ang|fusion,Yes,N,
601,58779,alandsonsplumbingusa.com,alandsons|plumbing|usa,al|and|sons|plumbing|usa,aland|sons|plumbing|usa,a|land|sons|plumbing|usa,Yes,N,
604,44192,handdrawnquartered.com,hand|drawn|quartered,handdrawn|quartered,hand|drawn|quartered,hand|drawn|quartered,Yes,C,
605,20221,everythingopulencebeauty.com,every|thing|opulence|beauty,everything|opulence|beauty,everything|opulence|beauty,everything|opulence|beauty,Yes,C,
609,28197,drahailaalmeida.com,drahaila|almeida,drahailaalmeida,dr|ahaila|almeida,dr|a|hail|a|almeida,No,N,
613,99581,fraudsteveschwartzapfel.com,fraud|steve|schwartzapfel,fraudsteveschwartzapfel,fraud|steve|schwartz|apfel,fraud|steve|schwartz|apfel,No,D,
614,35682,destileriastenis.com,destileriastenis,destileria|stenis,destileria|stenis,des|tile|rias|ten|is,No,F,
622,8872,doangialand.com,doangia|land,do|angia|land,do|angia|land,do|an|gia|land,Yes,F,
625,38330,gogogive.com,gogo|give,go|go|give,gogo|give,gogo|give,Yes,D,
628,70659,everydaypilgrimage.com,every|day|pilgrimage,everyday|pilgrimage,everyday|pilgrimage,every|day|pilgrimage,Yes,C,
631,33499,frivmax.com,frivmax,friv|max,friv|max,fri|vmax,Yes,D,
632,98137,franchisetailgate.com,franchise|tail|gate,franchise|tailgate,franchise|tailgate,franchise|tailgate,Yes,C,
633,34609,1761z1761.com,1761|z|1761,1761z1761,1761|z|1761,z,Yes,R,
634,27045,dezracing.com,dezr|acing,dez|racing,dez|racing,dez|racing,Yes,D,
635,93837,bcever.com,bcever,bc|ever,bc|ever,bc|ever,Yes,R,
637,88037,carrentalsearch.com,car|rental|search,carrental|search,car|rental|search,car|rental|search,Yes,D,
645,85145,centrovesalius.com,centro|vesalius,centrovesalius,centro|vesalius,centro|vesalius,No,F,
646,94567,decarboneum.com,decarbon|eum,decarboneum,de|carboneum,de|carbon|eum,Yes,D,
651,57221,ecommercerating.com,e|commerce|rating,ecommerce|rating,ecommerce|rating,ecommerce|rating,Yes,C,
653,15190,humanleyprints.com,human|ley|prints,humanley|prints,human|ley|prints,human|ley|prints,Yes,D,
657,21608,jahanihsan.com,jaha|nihsan,jahanihsan,jahan|ihsan,jahan|ihsan,Yes,N,
658,42253,ecominsurance.com,e|com|insurance,ecom|insurance,ecom|insurance,ecom|insurance,Yes,D,
660,66359,ifovgroupe.com,i|fov|groupe,ifov|groupe,ifo|v|groupe,if|ov|groupe,No,R,
662,96689,collinslawde.com,collins|law|de,collins|lawde,collins|law|de,collins|law|de,Yes,N,
667,10486,everything2gain.com,every|thing|2|gain,everything|2|gain,everything|2|gain,everything|gain,Yes,C,
677,83286,gatewaylimousine.com,gate|way|limousine,gateway|limousine,gateway|limousine,gateway|limousine,Yes,C,
685,72952,hbd7.com,hbd|7,hbd7,hbd|7,hbd,No,R,
686,95406,glamivie.com,glam|ivie,glamivie,glam|vie,glam|ivie,Yes,R,
690,60370,fourniplant.com,fourni|plant,four|ni|plant,fourni|plant,fourni|plant,Yes,D,
720,51381,carbofil.com,carbofil,carbo|fil,carbo|fil,carb|of|il,Yes,D,
722,63778,13aresearch.com,13a|research,13|a|research,13a|research,a|research,Yes,R,
727,29867,ansarandolini.com,ansarandolini,ansa|randolini,ansar|and|olini,ansar|and|olin|i,Yes,N,
738,91669,baybuildersal.com,bay|builders|al,bay|builder|sal,bay|builders|al,bay|builders|al,Yes,D,
748,47733,farmerseinsurance.com,farmers|einsurance,farmers|e|insurance,farmers|e|insurance,farmers|e|insurance,Yes,C,
750,85523,gworldlogis.com,gworld|logis,g|world|logis,g|world|logis,g|world|log|is,Yes,C,
752,63159,byuscorp.com,byus|corp,by|us|corp,by|us|corp,by|us|corp,Yes,D,
762,77566,emysdaycare.com,emys|day|care,emys|daycare,emys|daycare,e|my|s|day|care,Yes,C,
764,14398,harmophy.com,harm|ophy,harmophy,harmo|phy,harm|o|phy,Yes,D,
768,96543,cilentoautenticodmo.com,cilento|autentico|dmo,cilentoautenticodmo,cilento|autentico|dmo,cilento|a|utenti|cod|mo,No,F,
772,17781,antiquesuperstore.com,antique|super|store,antique|superstore,antique|superstore,antique|superstore,Yes,C,
774,96010,dvicenteabogados.com,dvicen|tea|bogados,dvicente|abogados,d|vicente|abogados,d|vicente|abogados,No,F,
785,55291,bellapiedi.com,bella|piedi,bellapiedi,bella|piedi,bella|piedi,Yes,N,
786,81423,au2indretning.com,au2indretning,au|2|indretning,au2|indretning,au|in|dr|et|ning,Yes,F,
787,33683,dwarproductions.com,dwar|productions,d|war|productions,dwar|productions,d|war|productions,Yes,C,
790,90276,cardhubx.com,card|hub|x,card|hubx,card|hubx,card|hub|x,Yes,C,
791,46164,activatedewards.com,activate|dewards,activated|ewards,activate|d|wards,activated|e|wards,Yes,P,
798,696,airportexplorer.com,air|port|explorer,airport|explorer,airport|explorer,airport|explorer,Yes,C,
799,20335,gwarrow.com,g|warrow,gw|arrow,g|warrow,gw|arrow,Yes,D,
800,6093,ezz-theticrecords.com,ezz|the|tic|records,ezz|thetic|records,ezz|thetic|records,ezz|the|tic|records,Yes,D,
801,76553,bonnvischan.com,bonnvis|chan,bonnvischan,bonn|vischan,bonn|vis|chan,No,F,
802,98295,doctorespuertoescondido.com,doctor|espuerto|escondido,doctor|es|puerto|escondido,doctores|puerto|escondido,doctor|es|puerto|escondido,No,F,
805,8996,acesector159noida.com,ace|sector|159|noida,ace|sector|159|no|ida,ace|sector|159|noida,ace|sector|noida,Yes,N,
807,27719,cartonnidodeabeja.com,carton|nidodeabeja,carton|nidode|abeja,carton|nido|de|abeja,carton|nido|de|abeja,No,F,
814,42934,armapillo.com,arm|apillo,armapillo,arma|pillo,arma|pillo,Yes,D,
821,95772,aimterapia.com,aim|terapia,aimterapia,aim|terapia,aim|terapia,No,F,
827,91387,detechies.com,de|techies,detechies,de|techies,de|techies,No,F,
831,42514,harmonphysicaltherapy.com,harm|on|physical|therapy,harmon|physical|therapy,harmon|physical|therapy,harmon|physical|therapy,Yes,D,
841,52810,cticontech.com,cti|con|tech,ct|icon|tech,cti|con|tech,ct|icon|tech,Yes,D,
845,40034,boxcarpzix.com,box|carp|zix,boxcar|pzix,box|carp|zix,box|carp|zix,Yes,D,
847,49308,downtownlastudios.com,down|town|la|studios,downtown|la|studios,downtown|la|studios,downtown|la|studios,Yes,C,
848,91758,autocars-savac.com,auto|cars|savac,autocars|savac,auto|cars|savac,auto|cars|sa|vac,Yes,C,
850,45863,dx301.com,dx|301,dx301,dx|301,dx,No,R,
854,78120,haiwenwl.com,haiwen|wl,hai|wen|wl,hai|wen|wl,hai|we|nwl,No,F,
855,1839,banca499.com,banca|499,banca499,banca|499,banca,No,F,
856,52661,donyayenoor.com,donya|yenoor,donyayenoor,donyay|enoor,do|ny|aye|no|or,No,F,
859,97681,flexpertlegal.com,fl|expert|legal,flex|pert|legal,flex|pert|legal,fl|expert|legal,Yes,D,
874,40821,buberme.com,buberme,b|uber|me,bub|er|me,buber|me,Yes,D,
886,62990,carlisleparts.com,car|lisle|parts,carlisle|parts,carlisle|parts,carlisle|parts,Yes,D,
887,36880,19iem.com,19iem,19|iem,19|iem,i|em,No,R,
888,55578,intellimedtech.com,intellimed|tech,intelli|med|tech,intelli|med|tech,intelli|medtech,Yes,C,
890,76103,abelbuzarquis.com,abel|buzarquis,abelbuzarquis,abel|buzarquis,abel|buz|ar|quis,No,N,
895,79345,consultoriagca.com,consult|oriagca,consultoria|gca,consultoria|gca,consultoria|gca,No,F,
897,16741,evenders.com,even|ders,ev|enders,even|ders,even|ders,Yes,D,
902,853,casibom843.com,casi|bom843,casibom843,casibom|843,casibo|m,Yes,R,
904,64395,eartevgo.com,eartevgo,eart|ev|go,ear|tev|go,ear|tev|go,Yes,R,
905,18455,abcvoosbaratos.com,abc|voos|baratos,abcvoosbaratos,abc|voos|baratos,abc|voos|baratos,No,F,
906,48196,dimoraaganoor.com,dimora|aganoor,dimoraaganoor,dimora|aga|noor,dimora|aga|no|or,No,N,
916,95362,hhuttonadminservices.com,hhutton|admin|services,h|hutton|admin|services,hhutton|admin|services,h|hutton|admin|services,Yes,N,
917,21131,danlesgroup.com,dan|les|group,danles|group,danles|group,dan|les|group,Yes,N,
919,44307,amitechdesign.com,ami|tech|design,amitech|design,amitech|design,amitech|design,Yes,C,
922,5755,baeaimoveis.com,baeai|move|is,baeai|moveis,bae|aimo|veis,bae|a|i|move|is,Yes,D,
927,24536,alberguelabarraca.com,albergue|la|barraca,alberguela|barraca,albergue|la|barraca,albergue|la|barra|ca,No,F,
928,44795,habeebe.com,habeebe,ha|bee|be,habe|ebe,habeeb|e,No,F,
932,71251,bestbeefintl.com,best|bee|fintl,best|beef|intl,best|beef|intl,best|beef|intl,Yes,D,
935,907,billboardslasvegas.com,bill|boards|las|vegas,billboards|las|vegas,billboards|las|vegas,billboards|las|vegas,Yes,C,
942,12830,gigiemmevacanze.com,gigi|emmevacanze,gigiemme|vacanze,gigi|emme|vacanze,gigi|emme|vacanze,No,N,
943,27601,clcconsultancyco.com,clc|consult|ancyco,clc|consultancy|co,clc|consultancy|co,clc|consultancy|co,Yes,D,
954,68319,educacioncaninasevilla.com,educacion|caninase|villa,educacion|canina|se|villa,educacion|canina|sevilla,educacion|can|in|a|sevilla,No,F,
959,82765,grivinsegr.com,grivinsegr,grivinse|gr,grivin|segr,gr|ivins|egr,No,R,
962,84558,benetstore.com,benet|store,be|net|store,benet|store,be|net|store,Yes,D,
963,82141,globalstrawberry.com,global|straw|berry,global|strawberry,global|strawberry,global|strawberry,Yes,C,
964,46529,bidderoo.com,bid|deroo,bidderoo,bidder|oo,bidder|oo,Yes,R,
967,68788,elrealtypr.com,el|real|typr,el|realty|pr,el|realty|pr,el|realty|pr,No,F,
968,84611,grupoberhfer.com,grupo|berhfer,grupoberhfer,grupo|berh|fer,grupo|be|rh|fer,No,F,
977,60406,hydrogelfilters.com,hydro|gel|filters,hydrogel|filters,hydrogel|filters,hydrogel|filters,Yes,C,
979,88007,epicogateway.com,epico|gate|way,epico|gateway,epico|gateway,epic|o|gateway,Yes,C,
982,96912,animation-pipeline.com,animation|pipe|line,animation|pipeline,animation|pipeline,animation|pipeline,Yes,C,
983,51301,avvsamantabufalini.com,avvsamanta|bufalini,avvsamantabufalini,avv|samanta|bufalini,a|vv|samanta|buf|a|lini,No,F,
985,4033,barbusu.com,barbusu,bar|busu,bar|busu,barbus|u,Yes,R,
987,89359,biolab1.com,bio|lab1,bio|lab|1,bio|lab1,biolab,Yes,D,
988,60411,demrawan.com,demrawan,demra|wan,dem|rawan,dem|raw|an,No,F,
993,4892,consuladolanzarote.com,consul|adolanzarote,consulado|lanzarote,consulado|lanzarote,consulado|lanzarote,No,F,
996,28878,devpha.com,devpha,dev|pha,dev|pha,dev|pha,Yes,R,
998,48058,datongjc.com,datongjc,da|tong|jc,datong|jc,datong|jc,Yes,F,
1000,728,eenode.com,eenode,ee|node,ee|node,ee|node,Yes,R,
1004,35526,jhenaidah0204.com,jhena|idah0204,jhenaidah0204,jhenaidah|0204,j|henai|dah,No,N,
1008,19678,eleusistradeco.com,eleusistra|deco,eleusis|trade|co,eleusis|trade|co,eleusis|trade|co,Yes,D,
1010,24990,jandjadventures.com,j|and|j|adventures,jandja|dventures,j|and|j|adventures,jan|dj|adventures,Yes,D,
1011,64364,ecolotees.com,eco|lot|ees,eco|lotees,eco|lo|tees,e|colo|tees,Yes,D,
1012,92552,ezrobotsentertainment.com,ezro|bots|entertainment,ez|robots|entertainment,ez|robots|entertainment,ez|robots|entertainment,Yes,D,
1018,21528,carriazetech.com,carria|zetech,carriaze|tech,carriaze|tech,car|riaz|etech,Yes,D,
1022,533,heiluotuo.com,hei|luo|tuo,heiluotuo,heiluo|tuo,he|i|luo|tuo,No,F,
1023,53236,huashenhj.com,hua|shen|hj,huashenhj,huashen|hj,hua|she|nhj,No,F,
1024,64836,cloudsimera.com,clouds|imera,cloud|simera,cloud|simera,clouds|i|mera,Yes,D,
1028,38518,coloridilana.com,color|idilana,colori|dilana,colori|di|lana,color|id|ilana,No,D,
1038,47089,brilolifestyles.com,brilo|life|styles,brilo|lifestyles,brilo|lifestyles,b|rilo|lifestyles,Yes,C,
1040,66113,deqianjiaoyu.com,de|qian|jiaoyu,deqian|jiaoyu,de|qian|jiaoyu,de|qian|jiao|yu,No,F,
1046,38884,afrastheticsforyourworld.com,afrasthetics|for|your|world,afr|asthetics|for|your|world,afras|thetics|for|your|world,afr|as|the|tics|for|your|world,Yes,D,
1050,40330,jaiohare.com,jai|ohare,jaio|hare,jai|ohare,jai|oh|are,Yes,F,
1059,73844,e-clipsmedia.com,e|clips|media,eclips|media,e|clips|media,eclips|media,Yes,C,
1063,84542,halfloween.com,half|loween,halfloween,half|loween,half|low|een,Yes,D,
1070,92360,jundoss.com,jun|doss,jundoss,jun|doss,jun|doss,No,N,
1072,18832,idnet-nl.com,idnet|nl,id|net|nl,id|net|nl,id|net|nl,Yes,D,
1073,44574,bbet9119.com,bbet9119,b|bet|9119,bbet|9119,b|bet,No,R,
1077,64090,geldtraum.com,geldtraum,geld|traum,geld|traum,geld|traum,No,N,
1082,17299,avconamerica.com,av|con|america,avcon|america,avcon|america,avc|on|america,Yes,D,
1090,71841,108underwear.com,108|under|wear,108|underwear,108|underwear,underwear,Yes,C,
1097,50062,comprarcocheenibiza.com,comprar|cocheen|ibiza,comprar|coche|en|ibiza,comprar|coche|en|ibiza,comprar|coche|en|ibiza,No,F,
1101,93927,amys-pfotenfreunde.com,amys|pfotenfreunde,amys|pfoten|freunde,amys|pfoten|freunde,a|my|spf|oten|freunde,No,F,
1104,44803,ageetvie.com,ageet|vie,age|et|vie,age|et|vie,age|et|vie,No,F,
1116,38842,commrefrigconslaz.com,commrefrigconslaz,comm|refrig|conslaz,comm|refrig|conslaz,comm|refrig|cons|laz,No,F,
1117,43335,abcdeforex.com,abcde|forex,abcdef|orex,abc|de|forex,abcde|forex,No,D,
1120,86688,inspectisgroup.com,inspect|is|group,inspectis|group,inspect|is|group,inspect|is|group,Yes,D,
1136,40889,fororutas.com,for|orutas,fororutas,foro|rutas,for|or|ut|as,No,F,
1145,89243,itborna.com,itborna,it|borna,it|borna,it|born|a,Yes,R,
1150,14522,jara2000.com,jara|2000,jara2000,jara|2000,jara,No,N,
1151,96756,devinnunesyoutube.com,devin|nunes|youtube,devinnunes|youtube,devin|nunes|youtube,devin|nunes|youtube,Yes,N,
1159,72367,glenmaryfarms.com,glen|mary|farms,glenmary|farms,glen|mary|farms,glenmary|farms,Yes,N,
1160,54141,byganz.com,byganz,by|ganz,by|ganz,by|ganz,Yes,R,
1178,37669,dashesy.com,dash|esy,dashesy,dash|esy,dashes|y,Yes,R,
1183,95914,juliagrandeart.com,julia|grandeart,julia|grande|art,julia|grande|art,julia|grande|art,Yes,N,
1185,19231,coghillmedia.com,cog|hill|media,coghill|media,cog|hill|media,coghill|media,Yes,C,
1190,21842,autosdeportivosdelujo.com,autos|deportivos|delujo,autos|deportivos|de|lujo,autos|de|portivos|del|ujo,autos|deportivos|de|lujo,No,F,
1195,35922,astrologerparmeshwar.com,astrologer|parmesh|war,astrologer|parmeshwar,astrologer|parmeshwar,astrologer|par|mesh|war,Yes,N,
1214,70445,carsmiami-rents.com,cars|miami|rents,carsmiami|rents,cars|miami|rents,cars|miami|rents,Yes,D,
1216,68143,boislaurentien.com,bois|laurent|ien,bois|laurentien,bois|laurentien,bois|lauren|tien,Yes,N,
1218,51577,areacode-jp.com,area|code|jp,areacode|jp,area|code|jp,area|code|jp,Yes,C,
1223,24537,dinfremtid.com,dinfremtid,din|fremtid,din|fremtid,din|frem|tid,No,F,
1224,78945,baseball-store.com,base|ball|store,baseball|store,baseball|store,baseball|store,Yes,C,
1230,68446,jesuisbeau.com,jesuis|beau,jesu|is|beau,je|suis|beau,je|suis|beau,Yes,F,
1238,8157,cosslong.com,cosslong,coss|long,coss|long,coss|long,Yes,D,
1240,12049,gragnanofood.com,grag|nano|food,gragnano|food,gragnano|food,g|rag|nano|food,Yes,D,
1242,70565,bancoitauconsignadossa.com,ban|coitau|con|signa|dossa,banco|itau|consignados|sa,banco|itau|consignados|sa,banco|it|au|consign|a|doss|a,No,F,
